display_name,database_id,internal_person_id,reference_kind,offset,relative_to_identity_record,is_identity_record_occurrence,context_hex
"Bruno Santos",8832815,11210,INTERNAL_PERSON_ID,0x006B21B1,549478,False,C92B000063A77E0000E8030000000000000000000000FFFFFFFF0500000000000000000200000000FE180000FFFFFFFFCA2B000064A77E0000E8030000000000000000000000FFFFFFFF0500000000000000000100000000F62D0000FFFFFFFFCB2B00008B087F0000E8030000000000000000000000FFFFFFFF05000000000000000001
"Bruno Santos",8832815,11210,INTERNAL_PERSON_ID,0x00750DDC,1199761,False,BE2B0000BF2B0000C02B0000C12B0000C22B0000C32B0000C42B0000C52B0000C62B0000C72B0000C82B0000C92B0000CA2B00000000000000006C07FFFFFFFF0000FFFFFFFFFFFF00006C07FFFFFFFF0000FFFFFFFFFFFF120101C30000000000000020000000007AEF0F0000F7EAF5050B0000D4070F00D4071A160100000000002706
"Bruno Santos",8832815,11210,INTERNAL_PERSON_ID,0x008A2221,2581206,False,A0A10000FFFFFFFF5A009A070096000000FFFFFFFF00000000FFFFFFFF0000006C07B2010000180000D1070A49120000CA2B00000000000000FFFFFFFF0000010603016400311200000301640004000000030264001C170000030264004812000001036400EF00000001036400010100000000000000D1070000B21200005EAE0C000288
"Bruno Santos",8832815,11210,INTERNAL_PERSON_ID,0x0094E3AC,3286113,False,010000010400D4070400D307FFFFFFFF00FFFFFFFF00FFFFFFFF0066005A000000006C07FFFFFFFFCABE00006A020100CA2B00005900BF0700BD000000FFFFFFFF00000000FFFFFFFF0000006C078F00000001F300D2070A541B0000370400000000000000FFFFFFFF010001000000A40000002F00000017000000000000003C32000000
"Bruno Santos",8832815,11210,INTERNAL_PERSON_ID,0x009BC77B,3737648,False,30000000EF0F00000000C82B000011F6F5050730000000EF0F00000000C92B000012F6F5050730000000EF0F00000000CA2B000013F6F5050724000000EB0F00000000CB2B000014F6F5050724000000EB0F00000000CC2B000015F6F5050724000000EB0F00000000CD2B000016F6F5050729000000EB0F00000000CE2B000017F6F505
"Dimba",303048,50294,DATABASE_ID,0x002F4682,32,True,000100BD00000075C4000008A0040000080000004500640069007400E100630069006F0000000100BD00000076C40000C89F0400000E0000004D0061007200630065006C006F002000540069006E00F40063006F0000000100BD00000077C40000275B3200000F0000004600720061006E0063006900730063006F0020004300E9007300
"Dimba",303048,50294,DATABASE_ID,0x00569592,2576176,False,0000560069006500690072006100200064006500200041006E006400720061006400650000000200BD00000045050100C89F04000006000000470072006500630063006F0000000200BD000000460501008EA986000010000000640061002000530069006C0076006100200046006F006E00730065006300610000000200BD0000004705
"Dimba",303048,50294,DATABASE_ID,0x00626A0B,3351465,False,0072006F0000000100BD000000BD29000054A004000005000000440069006D006200610000000100BD000000BE290000C89F0400000D0000004D006100720063006F00730020004A00610074006F006200E10000000100BD000000BF2900006C9F04000012000000420065006200650074006F0020006400650020004F006C0069007600
"Dimba",303048,50294,DATABASE_ID,0x0079B8A7,4878917,False,000104016118007502000001613D00F201000001611B002702000002621B004E0000000000000400D407000077030000C89F0400028813881352036C007C00E9020000FFFFFFFF2C0B00000A00701700001027000000000000000000000000EE020000000000000000000000000000000000000000000000000000000000000001000000
"Dimba",303048,50294,INTERNAL_PERSON_ID,0x002F467E,28,True,006F0000000100BD00000075C4000008A0040000080000004500640069007400E100630069006F0000000100BD00000076C40000C89F0400000E0000004D0061007200630065006C006F002000540069006E00F40063006F0000000100BD00000077C40000275B3200000F0000004600720061006E0063006900730063006F0020004300
"Dimba",303048,50294,INTERNAL_PERSON_ID,0x004D9F1D,1988795,False,0065007200620000000100A400000075C40000E8247300000600000053007400EE006E006700750000000100A400000076C40000E9247300000800000041006200720075006400650061006E0000000100A400000077C40000EA247300000600000050006C00690073006300610000000100A400000078C40000EB247300000600000049
"Dimba",303048,50294,INTERNAL_PERSON_ID,0x0079B7ED,4878731,False,5C00B1000000B100010000010400D4070700D407FFFFFFFF00FFFFFFFF00FFFFFFFF0006005A000000006C07FFFFFFFF76C4000045050100BE2900006B01B50700BD0000002702000000000000FFFFFFFF0000006C078F000000010400D4070A5B030000680600000000000000FFFFFFFF010001000000D7010000C60000006F00000000
"Douglas Silva",3300410,10349,DATABASE_ID,0x00623322,42,True,00395C3200000D00000044006F00750067006C00610073002000530069006C007600610000000100BD0000006D2800003A5C3200000C0000004A006F00E3006F00200052006F0064007200690067006F0000000100BD0000006E2800003D5C3200000E00000052006F0064006F006C0066006F00200053006F0061007200650073000000
"Douglas Silva",3300410,10349,DATABASE_ID,0x008CFFC2,2804938,False,00010401034B0030000000010350000C020000016124003802000001610200330000000000003901D3070000EF1400003A5C320001B90BB90BDC057A007A00030000003A04000032BF0000DD110100FFFFFFFFAE00A30700BD000000FFFFFFFF00000000FFFFFFFF0000006C07E8020000020000D1070A84140000FFFFFFFF0000000000
"Douglas Silva",3300410,10349,INTERNAL_PERSON_ID,0x0007256B,-5967245,False,000900000000000000FF0000006C28000092CF79000004000000000000000006960000000900000000000000FF0000006D28000093CF79000004000000000000000006960000000900000000000000FF0000006E28000094CF79000004DEDD21428988104106960000000900000000000000FF0000006F28000095CF7900000400000000
"Douglas Silva",3300410,10349,INTERNAL_PERSON_ID,0x0019C1CD,-4747563,False,007200000001003A0000006C2800005A2176000008000000470061006D0061006C00690075007300000001003A0000006D28000042257600000E00000049006400610020004200610067007500730020004700610067006100000001003A0000006E28000053217600000600000041006B006800790061007200000001003A0000006F28
"Douglas Silva",3300410,10349,INTERNAL_PERSON_ID,0x00381510,-2760168,False,0061006D006100000001003A0000006C2800007922760000060000004B0061006900660061007200000001003A0000006D280000B61B760000070000005700610068006900640069006E00000001003A0000006E2800007C22760000050000005A0061006D0069006E00000001003A0000006F2800008222760000060000004D00610072
"Douglas Silva",3300410,10349,INTERNAL_PERSON_ID,0x0062331E,38,True,006C280000395C3200000D00000044006F00750067006C00610073002000530069006C007600610000000100BD0000006D2800003A5C3200000C0000004A006F00E3006F00200052006F0064007200690067006F0000000100BD0000006E2800003D5C3200000E00000052006F0064006F006C0066006F00200053006F00610072006500
"Douglas Silva",3300410,10349,INTERNAL_PERSON_ID,0x006A8041,544073,False,6C28000061A1770000EE020000000000000000000000FFFFFFFF05000000000000000000000000005F190000FFFFFFFF6D28000062A1770000EE020000000000000000000000FFFFFFFF050000000000000000000000000063270000FFFFFFFF6E28000063A1770000EE020000000000000000000000FFFFFFFF05000000000000000000
"Douglas Silva",3300410,10349,INTERNAL_PERSON_ID,0x008CFEDD,2804709,False,010000010400D4070700D407FFFFFFFF00FFFFFFFF00FFFFFFFF0006005A000000006C07FFFFFFFFEFBE00001A0201006D2800004A00BC0700BD0000000C02000000000000FFFFFFFF0000006C078F000000013901D3070A83140000370400000000000000FFFFFFFF020001000000CB0000000000000014000000000000000E1E000000
"Douglas Silva",3300410,10349,INTERNAL_PERSON_ID,0x009AF359,3719265,False,FFFFFFFF2000006C07FFFFFFFF2000006C0700FFFFFFFFFFFFFFFF0000000000FFFFFFFF00000000000000006C0700006D280000ACF2F50504FFFFFFFF09004A00A408141404090C0411000000000000002F380000AE390000FFFFFFFF0A01AC07004C000000FFFFFFFF00000000FFFFFFFF2000006C07FFFFFFFF2000006C0700FFFFFF
"Douglas Silva",3300410,10349,INTERNAL_PERSON_ID,0x00A9AF0A,4684818,False,0C00005928000000340C00005D28000000360C00006028000000380C000068280000003A0C000069280000003B0C00006D280000007F0B00006E280000003D0C00006F280000003F0C000071280000007E0B000073280000007D0B00007C28000000420C000080280000007C0B00008A28000000430C00009128000000440C0000942800
"Fabiano Eller",3300219,68361,DATABASE_ID,0x0057ACDA,48,True,1000000045006C006C0065007200200064006F0073002000530061006E0074006F00730000000100BD000000090B01007B5B3200001000000053006F006100720065007300200064006500200042006100720072006F00730000000100BD0000000A0B0100795B3200000F000000530069006C00760069006E006F002000420061007400
"Fabiano Eller",3300219,68361,DATABASE_ID,0x00622E94,688618,False,00785B3200000D000000460061006200690061006E006F00200045006C006C006500720000000100BD000000512800007B5B320000040000004E0061007300610000000100BD000000522800007F5B3200000C0000004D006100750072006F002000470061006C007600E3006F0000000100BD00000053280000815B3200000A00000041
"Fabiano Eller",3300219,68361,DATABASE_ID,0x008CB64B,3475873,False,072F020AFF0000000001030161090044000000016109003A00000001612800330000000000000000D3070000AC1400007B5B320002201CF41AC4099100AA0020100000FFFFFFFF441B10000A1910270000102700FF1F0000000000004A000079F82700000000000000000000000000000000000000000000000000000000000003000000
"Fabiano Eller",3300219,68361,INTERNAL_PERSON_ID,0x0057ACD6,44,True,5B3200001000000045006C006C0065007200200064006F0073002000530061006E0074006F00730000000100BD000000090B01007B5B3200001000000053006F006100720065007300200064006500200042006100720072006F00730000000100BD0000000A0B0100795B3200000F000000530069006C00760069006E006F0020004200
"Fabiano Eller",3300219,68361,INTERNAL_PERSON_ID,0x008CB59D,3475699,False,1B004600010000010400D4070400D307FFFFFFFF00FFFFFFFF00FFFFFFFF0066005A000000006C07FFFFFFFFC7BE0000090B0100512800004201B90700BD0000003A00000000000000FFFFFFFF0000006C078F000000010000D3070A40140000370400000000000000FFFFFFFF01000100000051000000000000001B00000000000000BC
"Júlio César Moraes",8825041,69212,DATABASE_ID,0x00584C77,62,True,6F0020006400650020004D006F00720061006500730020004A00FA006E0069006F00720000000100BD0000005C0E0100D1A88600001000000042006100720062006F0073006100200043006F007500740069006E0068006F0000000100BD0000005D0E0100D3A88600000E00000053006F0075007A00610020004F006C00690076006500
"Júlio César Moraes",8825041,69212,DATABASE_ID,0x0062A289,677456,False,4A00FA006C0069006F0020004300E90073006100720020004D006F00720061006500730000000100BD000000122B0000D1A88600000E000000440061006E0069006C006F0020005000610067006F0074007400690000000100BD000000132B0000D8D30400000C0000005000610075006C006F00200042006C0061006E0063006F000000
"Júlio César Moraes",8825041,69212,DATABASE_ID,0x009308E9,3849392,False,00000000000000D10720020AFF000000000102016112003602000001610200330000000000000000D10700003E1A0000D1A88600029D0E9D0E32005900780073140000FFFFFFFFB87C00000A00A8160000102700000000000000000000000061140000000000000000000000000000000000000000000000000000000000000001000000
"Júlio César Moraes",8825041,69212,INTERNAL_PERSON_ID,0x00584C73,58,True,6C0068006F0020006400650020004D006F00720061006500730020004A00FA006E0069006F00720000000100BD0000005C0E0100D1A88600001000000042006100720062006F0073006100200043006F007500740069006E0068006F0000000100BD0000005D0E0100D3A88600000E00000053006F0075007A00610020004F006C006900
"Júlio César Moraes",8825041,69212,INTERNAL_PERSON_ID,0x0093083E,3849221,False,01000D00010000010400D4070400D307FFFFFFFF00FFFFFFFF00FFFFFFFF0066005A000000006C07FFFFFFFFC3BE00005C0E0100122B0000A500BE0700BD0000003602000000000000FFFFFFFF0000006C078F000000010000D1070A9E190000A50500000000000000FFFFFFFF0100010000002900000000000000040000000000000068
"Júnior Baiano",6900111,68979,DATABASE_ID,0x0058208C,58,True,720065006900720061002000520061006D006F00730020004A00FA006E0069006F00720000000100BD000000730D01008F49690000060000004700610072006F007400650000000100BD000000740D010073A40400000F0000004300720075007A006500690072006F0020004C006100640061006700610000000100BD000000750D0100
"Júnior Baiano",6900111,68979,DATABASE_ID,0x0061BF85,630579,False,0094496900000D0000004A00FA006E0069006F007200200042006100690061006E006F0000000100BD0000009E2500008F4969000004000000540075007400690000000100BD0000009F250000FFDA040000060000005000690063006F006C00690000000100BD000000A02500008C4969000006000000440079006B0073006F006E0000
"Júnior Baiano",6900111,68979,DATABASE_ID,0x00920E5F,3796493,False,00000002620200370000000161030037000000016101000803000002611B00BD0000000000000400D40700004B1900008F496900026A186A180A0F7E008C00D3130000FFFFFFFFC43F0D000A00701700001027000000000000000000470000D0611900000000000000000000000000000000000000000000000000000000000001000000
"Júnior Baiano",6900111,68979,INTERNAL_PERSON_ID,0x00582088,54,True,65007200720065006900720061002000520061006D006F00730020004A00FA006E0069006F00720000000100BD000000730D01008F49690000060000004700610072006F007400650000000100BD000000740D010073A40400000F0000004300720075007A006500690072006F0020004C006100640061006700610000000100BD000000
"Júnior Baiano",6900111,68979,INTERNAL_PERSON_ID,0x00920D89,3796279,False,4800A800010000010400D4070400D307FFFFFFFF00FFFFFFFF00FFFFFFFF0066005A000000006C07FFFFFFFF2ABF0000730D01009E2500004800B20700BD000000080300001B020000FFFFFFFF0000006C078F000000010400D4070ABB180000D90800000000000000FFFFFFFF0100010000007A0100000000000000000000000000007A
"Reginaldo Araújo",3300780,50358,DATABASE_ID,0x002F51E8,50,True,000041006E007400F4006E0069006F00200052006500670069006E0061006C0064006F0000000100BD000000B6C40000AC5D3200000D0000004A006F0072006700650020004D0061007200630065006C006F0000000100BD000000B7C40000AD5D3200000D0000004A0065007300FA007300200043006C006500690074006F006E000000
"Reginaldo Araújo",3300780,50358,DATABASE_ID,0x00591479,2736835,False,100000004D00610074006900610073002000640065002000410072006100FA006A006F0000000100BD00000078120100AC5D3200001300000043006100720072006F00630069006500720069002000640061002000530069006C007600610000000100BD00000079120100799C8000000D000000530065006C0065007300200042006100
"Reginaldo Araújo",3300780,50358,DATABASE_ID,0x00623BFC,3336774,False,1000000052006500670069006E0061006C0064006F002000410072006100FA006A006F0000000100BD000000A3280000AC5D320000070000004D0061006E00740065006E00610000000100BD000000A4280000B85D320000050000004900620073006F006E0000000100BD000000A5280000E7CE040000070000004A0075006300E9006C
"Reginaldo Araújo",3300780,50358,DATABASE_ID,0x008D7A88,6170834,False,000104016131000D02000001610D0042000000016139004000000001613600330000000000000000D107000064150000AC5D320002C819C819DA0574009400A8100000FFFFFFFFA7EE06000A00381C0000CE26000000000000000000490000A3230B00000000000000000000000000000000000000000000000000000000000001000000
"Reginaldo Araújo",3300780,50358,INTERNAL_PERSON_ID,0x002F51E4,46,True,00001100000041006E007400F4006E0069006F00200052006500670069006E0061006C0064006F0000000100BD000000B6C40000AC5D3200000D0000004A006F0072006700650020004D0061007200630065006C006F0000000100BD000000B7C40000AD5D3200000D0000004A0065007300FA007300200043006C006500690074006F00
"Reginaldo Araújo",3300780,50358,INTERNAL_PERSON_ID,0x004DA78D,1988055,False,006500720064006500690000000100A4000000B5C40000DE905B000004000000540069006300E30000000100A4000000B6C400003F25730000060000005000EE0072006A006F006C0000000100A4000000B7C4000042257300000700000042006F006700680069006300690000000100A4000000B8C40000C71D7300000600000045006C
"Reginaldo Araújo",3300780,50358,INTERNAL_PERSON_ID,0x008D79A0,6170602,False,05008A0000008A00010000010400D4070700D407FFFFFFFF00FFFFFFFF00FFFFFFFF0006005A000000006C07FFFFFFFFB6C4000078120100A32800001201B90700BD0000004000000000000000FFFFFFFF0000006C078F000000010000D1070AF8140000820A00000000000000FFFFFFFF020001000000D9010000000000000000000000
