field,value,count,examples
Field1,80,11,"Ismaily Sporting Club | Ulsan Hyundai | Chunnam Dragons | Suwon Samsung Blue Wings | Wits University | Busan I.cons | Chonbuk Hyundai Motors | London | Southern All-Star Team | Central All-Star Team | Yangji"
Field1,171,11,"Villarreal | Djurgårdens IF | Halmstad BK | Hammarby IF | IF Elfsborg | IFK Gotemburgo | IFK Norrköping | Kalmar FF | Malmö FF | Örebro SK | Örgryte IS"
Field1,120,10,"Tavria Simferopol | Colorado Rapids | Columbus Crew | FC Dallas | Kansas City Wizards | Los Angeles Galaxy | MetroStars | New England Revolution | Terrassa | American All Stars East"
Field1,160,10,"Portadown | FK Bodø-Glimt | Lillestrøm SK | FC Lyn Oslo | Molde FK | Odd Grenland | Rosenborg BK | Stabæk IF | Viking FK | C Olimpia"
Field1,173,10,"Thai Farmers Bank | Besiktas JK | Fenerbahçe SK | Galatasaray SK | Gençlerbirligi | Kayserispor | Samsunspor | Tafea | Büyüksehir Belediye Ankaraspor | Club Africain Tunis"
Field1,190,10,"Tonnerre Kalara Club | CSD Colo Colo | O'Higgins de Rancagua | CD Universidad Católica | Hamarkameratene Toppfotball | Club Universitario de Nuevo León | CPFD Concepción | C Alianza Lima | FK Smederevo | FC Seoul"
Field1,192,10,"American All Stars West | CS Emelec | CD El Nacional | C Cerro Corá | CD Espoli | S Deportivo Quito | BATE Borisov | CSD Macará | Nacional AC (SP) | CD Johann FC"
Field1,0,9,"AC Vantaan Allianssi | UA Maracaibo | Jeunesse Sportive de Kabylie | Mouloudia Club d'Alger | Union Sportive Madinet El-Harrach | Entente Sportive de Sétif | Union Sportive de la Medina d'Alger | Monte Carlo | Alicante C.F."
Field1,33,9,"C Jorge Wilstermann | SC Simba | Irish League Select U21 | FC Etzella Ettelbruck | Enyimba FC | Iwuanyanwu Nationale | Antigua GFC | BCC Lions | Ranchers Bees"
Field1,55,9,"CF Universidad de Chile | Beijing Guo'an | Dalian Shide | Guangzhou Rizhiquan | CA Rentistas | FK Qarabag-Azersun Aqdam | CD Olmedo | Changchun Yatai | Huracán de Tres Arroyos"
Field1,61,9,"Vicenza | Tsuno Shadows | Neriwa Gabe | Sfida Oshiwa F.C. | Kashiba Stolz | FC Tokunyawa | Yokohama Flugels | Operário (MS) | Niitsu Unicorn"
Field1,188,9,"Dinamo-93 Minsk | C Bolívar | CD Unión Española | CS Deportivo Cuenca | SD Aucas | C Real Potosí | C Mariscal Braun | C Unión Central | San Salvador FC"
Field1,193,9,"Vålerenga Fotball | Al Sha'ab (UAE) | Al Ittihad (KSA) | Guaraní (PAR) | Envigado FC | C Sol de América | C Atlético Colegiales | LDU de Quito | 12 de Octubre FC"
Field1,194,9,"C Cerro Porteño | C Deportivo Municipal | C Sporting Cristal | Club Deportivo Pachuca | Jaboticabal A | CFBC Melgar | C Independiente Petrolero | C Alianza Atlético | C Libertad"
Field1,196,9,"Barcelona (ECU) | Caracas FC | Estudiantes de Mérida FC | Universidad de los Andes FC | C Oriente Petrolero | Zulianos FC | Deportivo Táchira FC | CSD Estudiantes de Medicina | CD Trujillanos"
Field1,77,8,"Al Hilal (KSA) | Omani Club | Al Sha'ab Ibb | Al Ahli (QAT) | Al Wakra | FC Artmedia Bratislava | Binh Dinh | Hoang Anh Gia Lai"
Field1,78,8,"Torpedo Moscovo | Al Shorta (IRQ) | Furukawa | Al Muharraq | Forces Armées Royales | Al Ittihad (QAT) | Al Riyadh | Accra Hearts of Oak SC"
Field1,107,8,"CRKSV Jong Colombia | Police FC (TRI) | Ypiranga (AP) | Tauro FC | CD Marathón | CD Motagua | Platense (HON) | Jeunesse Club d'Abidjan"
Field1,137,8,"Omonoia Nicosia | Zlin | Sigma Olomouc | Slavia de Praga | Slovan Liberec | Tacuarembó FC | Litex (Lovech) | Banik Ostrava"
Field1,146,8,"SG Wattenscheid 09 | AEK Atenas | Olympiakos SF Piraeus | AS PAOK Salonika | Panathinaikos AO | Liaoning Zhongyu | AO Aigaleo | NK Siroki Brijeg"
Field1,147,8,"Vitesse | Debreceni VSC | Ferencvárosi Torna Club | Budapest Honvéd FC | MTK Budapest FC | Videoton FC Fehérvár | Újpest FC | Goldfields Obuasi SC"
Field1,172,8,"Östers IF | BSC Young Boys | FC Aarau | FC Basel | FC Zürich | Grasshopper-Club Zürich | CA Bucaramanga | Banants Yerevan"
Field1,29,7,"Club Monarcas Morelia | AS Kaloum Star | LD Alajuelense | Wydad Athletic Club | Bluefields FC | Al Shabab (IRQ) | Union Sportive Madinet Bel Abbès"
Field1,88,7,"South China Athletic | Al Ittifaq (KSA) | Al Wahda (UAE) | Al Wasl | Al Khaleej (UAE) | Al Arabi (UAE) | US Ansoise"
Field1,95,7,"Helênico | Juventus FC | Kulture Yabra SC | Acros Brown Bombers | Acros Real Verdes FC | Builders Hardware Bandits FC | Dangriga United FC"
Field1,97,7,"FC Tbilisi | Brampton Hitmen | Durham Storm | North York Astros | Toronto Croatia | Toronto Supra | Glen Shields Sun Devils"
Field1,99,7,"Municipal (GUA) | CS Cartaginés D | Wuhan Huanghelou | Blooming FC | Inter Clube de Luanda | ADM Pérez Zeledón | ADM Puntarenas"
Field1,100,7,"Universidad NA de Honduras | Royal '95 | CF Ciudad La Habana | Cienfuegos FC | C Granma FC | CD Guantánamo | CD Industriales La Habana"
Field1,102,7,"Violette Athletic Club | Alianza FC (SLV) | CD Aguila | CD Atlético Marte | Dynamos Harare | CD FAS | Club Guerreros de Ciudad Obregón"
Field1,104,7,"CD Municipal Limeño | CSD Comunicaciones | Real Espanha | Brasil de Farroupilha | AC Sodigraf | CD Escuintla | CD Xelajú MC"
Field1,106,7,"Atlético Espanhol | Racing Club Haitien | Qatar Sports Club | Football Inter Club Association | Baltimore Sportif Club | Carioca Football Club | Roulado Football Club"
Field1,108,7,"Aurora FC | Cavalier FC | Tivoli Gardens | Boys Town | Waddadah | Seba United | Reno"
Field1,110,7,"CD Saprissa | C Sporting San Juan | UD Banda Abou | CRSKV Jong Holland | SU Brion Trappers | RKSV Centro Dominguito | RKVFC Sithoc"
Field1,111,7,"Ghazl Al Mehalla | Real Estelí FC | San Marcos FC | CD Walter Ferreti | Diriagén FC | Real Madríz FC | FC Gomel"
Field1,112,7,"CD Cobán Imperial | Atlético Nacional (PAN) | CD Arabe Unido | Chiriquí FC | Panamá Viejo FC | San Francisco (PAN) | C Sporting Coclé"
Field1,113,7,"FC Villa Clara | CAF Quintana | CF Lincoln-Bayamón | CF Maunabo | CF Roosevelt | C Atléticos de Río Piedras | CF Nacional de Carolina"
Field1,117,7,"Olimpia (HON) | SV Transvaal | Parmalat FC | Inter Moengotapoe | House of Billiards | Voorwaarts (SUR) | W Connection FC"
Field1,119,7,"SV Robinhood | Defence Force FC | Happy Valley Athletic | Association Sportive Capoise | Caledonia AIA | Doc's Khelwalaas FC | Joe Public FC"
Field1,129,7,"Shirak Gyumri | FK Austria Viena | Grazer AK | SK Rapid Viena | FK Buducnost Banatski Dvor | CA Fénix | FC Schönberg 95"
Field1,134,7,"EC Vitória | CSKA (Sofia) | Levski (Sofia) | Lokomotiv (Plovdiv) | Lokomotiv (Sofia) | Marsaxlokk | FK Zeljeznicar Sarajevo"
Field1,138,7,"Sparta de Praga | Aarhus Gymnastik Forening | Aalborg Boldspilklub | Brøndbyernes Idrætsforening | Esbjerg forenede Boldklubber | Football Club Copenhaga | Football Club Midtjylland 1999"
Field1,167,7,"Al Shabab (KSA) | Aberdeen | Dundee United | Dunfermline Athletic | Celtic | Rangers FC | Heart Of Midlothian"
Field1,174,7,"Trabzonspor | Dinamo Kiev | Dnipro Dnipropetrovsk | Metalurg Zaporizhzhya | Shakhtar Donetsk | Opava | Metalurg Donetsk"
Field1,214,7,"Club Franciscain | Etoile Filante (Morne-à-l'Eau) | AS Le Gosier | Arsenal Club | Juventus (Sainte-Anne) | Sporting Club (Saint-Martin) | Solidarité Scolaire"
Field1,215,7,"América FC (RJ) | ASC Geldar Kourou | US Robert | Hapoel Bnei Sakhnin | CS Case-Pilote | Golden Star | L'Aiglon"
Field1,40,6,"NK Olimpija | Ajax Cape Town | Kaizer Chiefs | Mamelodi Sundowns | Orlando Pirates | East Bengal Club"
Field1,46,6,"Pohang Steelers | Club Sportif Sfaxien | Bendel Insurance FC | Ajaccio | AD San Carlos | Stade Tunisien"
Field1,48,6,"APR FC | OC Agaza | AS Police | DC Motema Pembe | CARA de Brazzaville | AS Bilima (COD)"
Field1,65,6,"Al Talaba | Al Arabi (KUW) | Al Kuwait | Al Qadisiyah (KUW) | Kazma | Al Faysali (JOR)"
Field1,142,6,"Havnar Bóltfelag | Tampere United | FC Lahti | Helsingin Jalkapalloklubi | FC Haka Valkeakoski | TVMK"
Field1,149,6,"Knattspyrnufélag Reykjavíkur | Hapoel Beer-Sheva | Hapoel Tel-Aviv | Maccabi Haifa | Maccabi Petach-Tikva | CD Honduras Salzburgo"
Field1,159,6,"Zimbru Chisinau | Ballymena United | Glentoran | Linfield | League of Ireland Select XI | League of Ireland Select U21"
Field1,161,6,"C Universitario D | Gornik Zabrze | Lech Poznan | FK Atlantas | Odra Wodzislaw Slaski | Wisla Cracóvia"
Field1,163,6,"Odense Boldklub | Bohemian F.C. | Cork City | Mouloudia Club d'Oran | Irish League Select XI | The Soccer AM Badgers"
Field1,168,6,"Home United | Dukla Banska Bystrica | MSK Zilina | Slovan Bratislava | Illichivets Mariupol | Zenith St. Petersburg"
Field1,176,6,"Rhyl | OFK Belgrado | Partizan Belgrado | Shooting Stars SC of Ibadan | Club Puebla de la Franja | C.P. Ejido S.A.D."
Field1,1,5,"KS Vllaznia Shkodër | Atlético Petróleos de Luanda | Desportivo Primeiro de Agosto | Olympique Club de Khouribga | Club Athlétique Bizertin"
Field1,6,5,"Slavia (Sofia) | Canon Yaoundé | ASC Jeanne d Arc | Etoile Filante Ouagadougou | Coton Sport de Garoua"
Field1,11,5,"NK Slaven Belupo | Zamalek Sporting Club | Al-Ahly Sporting Club | Nasr Athletic Hussein-Dey | Arab Contractors Cairo"
Field1,19,5,"Nakivubo Villa SC | Power Dynamos | Express Red Eagles | Stade Abidjan | Kénitra Athletic Club"
Field1,59,5,"Al Rasheed | Esteghlal Tehran | Al Arabi (QAT) | Club Jaguares de Chiapas | Muktijoddha Sangsad Krira Chakra Dhaka"
Field1,75,5,"Paas Tehran | Al Shabab (KUW) | Sur | Dhofar | Perak"
Field1,135,5,"CCD Tolima | Croácia Zagreb | HNK Hajduk | Selangor | MGS Apollon Kalamarias"
Field1,136,5,"HNK Rijeka | AEK Larnaca | Anorthosis Famagusta | APOEL Nicosia | Ethnikos Achnas"
Field1,153,5,"FK Skonto Riga | FK Ekranas | Kaunas | Zhashtyk-AK-Altyn Kara-Suu | Fylkir"
Field1,164,5,"Vitória Futebol Clube | Dínamo Bucareste | FC Gloria 1922 Bistrita | FC Otelul Galati | FC Pasching"
Field1,169,5,"Spartak Trnava | NK Gorica | NK Maribor | NK Primorje | NK CMC Publikum"
Field1,17,4,"Etoile Sportive du Sahel | Maxaquene | FC St. Eloi Lupopo | AS Sogara"
Field1,26,4,"Oryx Douala | Al Hilal (LBY) | Djoliba AC | L'Assaut"
Field1,49,4,"Al Rayyan | ASFA Yennega | Nkana Red Devils FC | Green Buffaloes"
Field1,50,4,"Al Qadisiyah (KSA) | Gor Mahia | Highlanders | Masvingo United"
Field1,60,4,"Goiás EC | BEC Tero-Sasana | Al Quwa Al Jawiya | Al Zawra'a"
Field1,128,4,"Vélez Sarsfield | Pyunik Yerevan | FK Ventspils | KS Dinamo Tirana"
Field1,130,4,"SV Salzburgo | Wollongong Wolves | FK Vetra | Raja Club Athletic"
Field1,132,4,"KVC Westerlo | FK ZTS Dubnica nad Vahom | FK Shamkir | Stationary Stores"
Field1,133,4,"Julius Berger FC | Shakhter Soligorsk | FK Sloboda Tuzla | FC Vaduz"
Field1,140,4,"Wolverhampton Wanderers | FC Flora Tallinn | Botafogo FC (SP) | FC Thun 1898"
Field1,141,4,"JK Narva Trans | Tofta Ítróttarfelag B68 | Teplice | Bóltfelagið B36"
Field1,144,4,"Rennes | Dila Gori | Guarany de Bagé | Neftchi Ferghana"
Field1,148,4,"ZTE Football Club | Fimleikafélag Hafnarfjarðar | Íþróttafélag Akraness | Nes Sóknar Ítróttarfelag"
Field1,151,4,"Matsumoto Giurare | Sheriff Tiraspol | WIT-Georgia Tbilisi | FHK Liepajas Metalurgs"
Field1,154,4,"FK Zalgiris | CS Grevenmacher | F91 Dudelange | Wydad Amel de Tlemcen"
Field1,155,4,"AS La Jeunesse d'Esch-Alzette | FK Pobeda Prilep | FC Sileks Kratovo | FK Sloga Jugomagnat Skopje"
Field1,156,4,"FK Vardar Skopje | Birkirkara | Hibernians | AS Gaz Metan Medias"
Field1,157,4,"Club de Fútbol Universidad | Nistru Otaci | Tiligul-Tiras Tiraspol | Terek Grozny"
Field1,175,4,"River Plate (URU) | Aberystwyth Town | Total Network Solutions | AD Mineros de Guayana"
Field1,16,3,"Stade Malien de Bamako | Toyo Kogyo | Liaoning Zhongba"
Field1,23,3,"Al Merreikh Port Sudan | Al Ittihad (LBY) | Al Nassr (LBY)"
Field1,36,3,"Kawkab Athletic Club de Marrakech | Africa Sports National | AS Douanes (SEN)"
Field1,41,3,"Vital'O | Al Merreikh Omduran | Al Hilal Omduran"
Field1,44,3,"AS Réal de Bamako | Atlético Sport Aviação | Maranatha FC"
Field1,45,3,"Etoile du Congo | Dynamic Togolais | DSA Antanarivo"
Field1,52,3,"Persepolis Tehran | CSD Barber | Surinaams Nationaal Leger"
Field1,58,3,"Al Jaish (SYR) | PSM Makassar | Tiga Berlian"
Field1,68,3,"Haverfordwest County | Nejmeh | Club Colima"
Field1,70,3,"C Sportivo Luqueño | Valencia (MDV) | Negeri Sembilan"
Field1,85,3,"San Juan Jabloteh SL | Krung Thai Bank | Bangkok Bank Limited"
Field1,126,3,"Partizani Tirana | KS Teuta Durrës | MOIK Baku"
Field1,213,3,"AS Racing Club (Basse-Terre) | AJ Saint-Georges | US Sinnamary"
Field1,4,2,"Enugu Rangers International FC | Tout Puissant Mazembe"
Field1,14,2,"Ethiopian Coffee | FC 105 Libreville"
Field1,20,2,"USM Libreville | Tusker FC"
Field1,30,2,"Black Rhinos | Ferroviário de Maputo"
Field1,47,2,"Xi'an Anxinyuan | AS Vita Club"
Field1,53,2,"West Riffa | Mohammedan Sporting Club Dhaka"
Field1,56,2,"Al Nassr (KSA) | Matáv-Sopron"
Field1,71,2,"Al Nassr (OMA) | Al Riffa"
Field1,79,2,"Hibernian | Geylang United"
Field1,82,2,"Al Sharjah | Al Wahda (SYR)"
Field1,87,2,"FC Khimki | Regar-TadAZ Tursun-zade"
Field1,89,2,"Akçaabat Sebatspor | FK Dinaburg Daugavpils"
Field1,90,2,"Persik Kediri | Duli Pengiran Muda Mahkota FC"
Field1,91,2,"Fanja | Al Wahda Sana'a"
Field1,127,2,"S.C. Tenri Blues | Fútbol Club Santa Coloma"
Field1,177,2,"FC Levadia Tallinn | South Melbourne"
Field1,180,2,"NK Kamen Ingrad | Central United"
Field1,217,2,"Samaritaine (Sainte-Marie) | ASC St. Louis Stars"
Field1,5,1,"Olympique de Moka"
Field1,13,1,"Union Sportive de Douala"
Field1,22,1,"Hafia FC"
Field1,24,1,"Mighty Barolle"
Field1,28,1,"SONACOS"
Field1,34,1,"Horoya AC"
Field1,43,1,"ASC Bouaké"
Field1,54,1,"Island Football Club"
Field1,57,1,"Nisa Ashkhabad"
Field1,62,1,"Salimiya"
Field1,66,1,"Nebitchi Balkanabad"
Field1,69,1,"Zanaco"
Field1,74,1,"PSV SW Salzburg"
Field1,84,1,"Mika Ashtarak"
Field1,152,1,"Daegu FC"
Field1,166,1,"Satellite FC (GUI)"
Field1,179,1,"Napier City Rovers AFC"
Field1,185,1,"Nadi"
Field2,255,1820,"Partizani Tirana | KS Teuta Durrës | KS Vllaznia Shkodër | Atlético Petróleos de Luanda | Desportivo Primeiro de Agosto | Primeiro de Maio (ANG) | Argentinos Juniors | Banfield | Boca Juniors | Estudantes de La Plata | Gimnasia y Esgrima de La Plata | Huracán"
Field3,255,1820,"Partizani Tirana | KS Teuta Durrës | KS Vllaznia Shkodër | Atlético Petróleos de Luanda | Desportivo Primeiro de Agosto | Primeiro de Maio (ANG) | Argentinos Juniors | Banfield | Boca Juniors | Estudantes de La Plata | Gimnasia y Esgrima de La Plata | Huracán"
